country_name,incidences,vaccination_rate,hospital_infrastructure
Argentina,9697763.0,2.4300835546866586,4.31695
Brazil,34568833.0,1.6365706069497021,3.72309
Chile,4765656.101612903,3.53955982595428,4.49232
Colombia,6304317.0,1.7209429599155583,1.7716200000000002
Mexico,4765656.101612903,1.8890884098597671,1.74403
Peru,4765656.101612903,2.846139274118705,1.6794
